Prefix,Class Number,Class Name,Credits
ART,227,Advanced Image Processing,3
ART,228,Fashion Photography,3
ART,283,Commercial Photography II,3
ART,287,Portrait Photography II,3
ART,289,Photojournalism,3
ART,291,Travel Photography,3
ART,292,Studio Photography,3
ART,294,Architectural Photography,3
ART,929,Individual Projects,2
ADN,110,Introduction to Professional Nursing,2
ADN,126,Passport to ADN Nursing,2
ADN,140,Nursing Fundamentals,6
ADN,210,Advanced Nursing Practice,5
ADN,240,Health and Illness Concepts I,6
ADN,416,Family Health Nursing,5
ADN,420,Health and Illness Concepts IIa,6
ADN,450,Health and Illness Concepts IIb,6
ADN,474,Mental Health Nursing,5
ADN,520,Complex Health Concepts,7
ADN,550,Professional Nursing Preceptor,5
ADN,551,Adult Health Nursing,7
ADN,611,Professional Nursing Practice,2
ADN,821,Nursing Seminar,3
ATC,320,Technical Internship I,3
ATC,328,Chrysler Elec Systems Repair,4
ATC,330,Technical Internship II,3
ATC,335,Service/Repair Chrysler Engine,5
ATC,336,Chrysler Fuel Systems,3
ATC,340,Technical Internship III,3
ATC,346,Chrysler Engine Performance,5
ATC,347,Chrysler Heating & AC,3
ATC,350,Technical Internship IV,3
ATC,353,Chrysler Power Train Systems,6
ATC,354,Chrysler Manual Drivetrains,4
ATC,355,Chrysler Automatic Drivetrains,4
ATC,356,Advanced Chrysler Systems,5
ATC,360,Technical Internship V,2
ATF,280,Ford Steering/Susp/Brakes,4
ATF,290,Adv. Ford Steering/Susp/Brake,2
ATF,312,Ford Automotive Electrical,5
ATF,317,Ford Shop Fund & Minor Svc,3
ATF,320,Technical Internship I,3
ATF,324,Ford Steering/Suspension,3
ATF,325,Ford Brakes Systems,3
ATF,326,Ford Automotive Climate Ctrl,3
ATF,328,Ford Electronic Systems Diag,5
ATF,330,Technical Internship II,3
ATF,333,Ford Engine Diagnosis/Repair,4
ATF,336,Ford Fuel Systems & Injection,3
ATF,337,Ford Driveability & Emissions,4
ATF,340,Technical Internship III,3
