Prefix,Class Number,Class Name,Credits
WAT,113,WW Treat Math Anly/Equip,4
WAT,114,Technical Internship I,5
WAT,115,15 Hr. WW T Activated Sludge,1
WAT,121,Water Treatment 30-Hour,2
WAT,122,Water Treatment Lab,1
WAT,123,"WAT Treatment Math, Analysis",4
WAT,124,Technical Internship II,5
WAT,125,15 Hr Surface Water Treatment,1
WAT,131,Technical Internship III,5
WAT,210,Wastewater Treatment: Indus,4
WAT,211,Industrial Pretreatment Processes,2
WAT,241,Water Distribution 30-Hour,2
WAT,242,Water Distribution Lab,1
WAT,243,"Water Distribution Math, Lab",4
WAT,244,Technical Internship IV,5
WAT,251,WW Collection 30-Hour,2
WAT,252,WW Collection Lab,1
WAT,253,"WW Collection Math, Lift/Equi",4
WAT,254,Technical Internship V,5
WAT,302,30 Hr. Grade 3&4 WW T Exam Pr,2
WAT,304,Water Treatment I,4
WAT,306,Wastewater Collection Systems,4
WAT,307,Wastewater Treatment I,4
WAT,308,Wastewater Analysis,3
WAT,309,Water Distribution Systems I,4
WAT,310,Wastewater Collection Systems I,4
WAT,311,Wastewater Treatment II,4
WAT,312,Water Treatment II,4
WAT,313,Water Distribution Systems II,4
WAT,314,Wastewater Collection Systems II,4
WAT,315,30 Hr. Grade 3&4 Water T Exam,2
WAT,330,Water and Wastewater Analysis,4
WAT,351,Wastewater Treatment III,4
WAT,352,Water Treatment III,4
WAT,401,Water and Wastewater Mgt.,2
WAT,410,Advanced Water Resource Recovery,3
WAT,411,Advanced Wastewater Treatment,3
WAT,412,Advanced Water Treatment,3
WAT,932,Internship,3
WDV,101,Intro HTML and CSS,3
WDV,130,Intro Photoshop for Web,3
WDV,150,E-Commerce,3
WDV,151,Intro Web Design,3
WDV,205,Advanced CSS,3
WDV,221,Intro Javascript,3
WDV,240,Intro WordPress,3
WDV,245,Content Management Systems I,3
WDV,261,Intro Flash,3
WDV,321,Advanced Javascript,3
WDV,331,Dreamweaver Applications,3
WDV,341,Intro PHP,3
WDV,351,Website Application Components,3
WDV,441,Advanced PHP,3
WDV,445,Content Management Systems II,3
WDV,446,Intro Drupal,3
WDV,490,Website Applications Seminar,3
WDV,495,Emerging Technologies Seminar,3
WDV,521,Intro Ajax,3
WDV,541,PHP Seminar,3
WDV,932,Web Development Internship,3
WEL,208,Intro to Fabrication,2
WEL,228,Welding Safety/Health: SENSE1,1
WEL,233,Print Read/Sym Inter: SENSE1,3
WEL,236,Advanced Arc Welding I (GMAW),2
WEL,237,Advanced Arc Welding II (GMAW,3
WEL,238,Adv Arc I GMAW Unlimited,2
WEL,239,Adv Arc II GMAW Unlimited,3
WEL,244,GMAW Sh Cir Transfer: SENSE1,2
WEL,245,GMAW Spray Transfer: SENSE1,2
WEL,246,Adv Arc Welding I (GMAW) Alum,2
WEL,247,Adv Arc Welding II (GMAW) Alum,3
WEL,248,Adv Arc I GMAW Alum Unlimited,2
WEL,249,Adv Arc II GMAW Alum Unlimite,3
WEL,251,GTAW Carbon Steel: SENSE1,2
WEL,252,GTAW Aluminum: SENSE1,1
WEL,253,GTAW Stainless Steel: SENSE1,1
WEL,254,Inspection/Test Princ: SENSE1,1
WEL,255,Welding Inspection,4
WEL,262,OFC-I Manual & Mech: SENSE1,2
WEL,266,Thermal Cutting Processes II,1
WEL,274,SMAW 1: SENSE1,3
WEL,275,SMAW II: SENSE1,3
WEL,280,FCAW Self-Shielded: SENSE1,2
WEL,281,FCAW Gas Shielded: SENSE1,2
WEL,282,Advanced Arc Welding I (FCAW),2
WEL,283,Advanced Arc Welding II (FCAW),3
WEL,284,Adv Arc I FCAW Unlimited,2
WEL,285,Adv Arc II FCAW Unlimited,3
WEL,341,Fabrication I,6
WEL,342,Fabrication II,6
WEL,710,Robotic Welding,3
WTT,103,Introduction to Wind Energy,3
WTT,114,Field Training & Project Oper,5
WTT,133,Wind Turbine Mechanical Sys,3
WTT,216,Power Generation/Transmission,3
WTT,223,Airfoils and Composite Repair,3
WTT,245,Electrical Practical App,4
WTT,247,Controls & Troubleshooting,4
WBL,100,Exploring Careers,1
WBL,110,Employability Skills,2
WBL,150,Job Shadowing,1
